x,y,z
0.075,0,16.81599387
0.125,0,8.708559946
0.175,0,7.300884336
0.225,0,14.25845253
0.275,0,6.352998477
0.325,0,7.621615313
0.375,0,7.513912326
0.425,0,6.344785163
0.475,0,9.243532231
0.525,0,7.873865132
0.075,0.1,14.51192546
0.125,0.1,6.369256339
0.175,0.1,7.180783208
0.225,0.1,6.283185307
0.275,0.1,7.539822369
0.325,0.1,6.52028664
0.375,0.1,6.923139366
0.425,0.1,6.08050191
0.475,0.1,9.964522954
0.525,0.1,9.574377611
0.075,0.2,11.93805208
0.125,0.2,7.008168227
0.175,0.2,5.826226376
0.225,0.2,8.666462493
0.275,0.2,6.190785523
0.325,0.2,8.191787296
0.375,0.2,7.583154681
0.425,0.2,8.272860654
0.475,0.2,10.2308445
0.525,0.2,9.71255744
0.075,0.3,8.987341009
0.125,0.3,6.833675863
0.175,0.3,7.373125616
0.225,0.3,6.544984695
0.275,0.3,7.435102613
0.325,0.3,6.146594322
0.375,0.3,8.694175018
0.425,0.3,7.657632093
0.475,0.3,8.124808587
0.525,0.3,8.901179185
