x,y,z
0.1,0.1,1434.943672
0.23,0.1,1633.62818
0.35,0.1,1354.191781
0.48,0.1,1774.458195
0.1,0.2,1177.731944
0.23,0.2,1207.464307
0.35,0.2,1225.221135
0.48,0.2,1225.221135
0.1,0.3,1266.895323
0.23,0.3,1132.401352
0.35,0.3,1490.685714
0.48,0.3,1410.860701
0.1,0.4,1867.003634
0.23,0.4,1698.113503
0.35,0.4,1696.460033
0.48,0.4,1784.093933
